user_id,signup_date,country,device,acquisition_channel,engagement_segment,engagement_propensity,first_week_sessions,used_workout_plan_first_month,converted_subscriber,plan_type,revenue_usd
U00001,2025-08-17,US,Web,Organic Search,Casual,0.316,12,1,1,Monthly,9.99
U00002,2025-12-21,US,iOS,Paid Search,Casual,0.182,5,0,1,Monthly,9.99
U00003,2025-11-29,IN,iOS,Organic Search,Casual,0.148,2,1,0,Free,0.0
U00004,2025-10-20,IN,Web,Paid Search,Regular,0.55,15,1,1,Monthly,7.99
U00005,2025-10-19,US,Android,Influencer,Casual,0.424,14,1,1,Monthly,9.99
U00006,2026-01-05,IN,iOS,Paid Social,Casual,0.326,7,0,0,Free,0.0
U00007,2025-08-16,US,iOS,Organic Search,Casual,0.217,15,1,0,Free,0.0
U00008,2025-12-07,US,iOS,Paid Social,Casual,0.275,8,1,0,Free,0.0
U00009,2025-09-07,DE,Android,Referral,Casual,0.294,11,1,0,Free,0.0
U00010,2025-08-18,US,iOS,Paid Search,Regular,0.468,10,1,0,Free,0.0
U00011,2025-11-05,US,Web,Organic Search,Casual,0.332,7,1,0,Free,0.0
U00012,2026-01-27,US,Web,Paid Search,Regular,0.54,13,1,0,Free,0.0
U00013,2025-12-14,CA,Android,Paid Social,Casual,0.245,6,1,0,Free,0.0
U00014,2025-12-19,DE,Android,Paid Social,Casual,0.251,6,1,0,Free,0.0
U00015,2025-12-11,DE,iOS,Organic Search,Casual,0.319,6,1,0,Free,0.0
U00016,2025-12-23,US,iOS,App Store Browse,Casual,0.205,10,1,1,Monthly,9.99
U00017,2025-11-03,US,Android,Organic Search,Casual,0.148,10,1,0,Free,0.0
U00018,2025-08-24,IN,iOS,Organic Search,Regular,0.569,10,1,0,Free,0.0
U00019,2026-01-02,US,iOS,Organic Search,Regular,0.427,10,1,0,Free,0.0
U00020,2025-10-22,AU,iOS,Paid Search,Casual,0.232,10,1,1,Monthly,9.99
U00021,2025-11-01,UK,iOS,Paid Social,Casual,0.321,15,1,0,Free,0.0
U00022,2025-10-08,US,iOS,Organic Search,Regular,0.585,19,1,1,Monthly,9.99
U00023,2025-09-03,IN,Android,Paid Social,Casual,0.313,13,1,1,Monthly,7.99
U00024,2026-01-18,US,Android,Paid Search,Casual,0.287,9,1,1,Monthly,7.99
U00025,2025-12-22,US,Android,Paid Social,Regular,0.695,17,1,0,Free,0.0
U00026,2025-11-27,CA,Android,App Store Browse,Casual,0.215,6,1,0,Free,0.0
U00027,2025-10-14,US,iOS,Paid Social,Casual,0.274,8,1,0,Free,0.0
U00028,2025-12-30,UK,Android,Organic Search,Casual,0.224,4,1,0,Free,0.0
U00029,2025-11-09,UK,Android,App Store Browse,Casual,0.307,13,1,1,Monthly,9.99
U00030,2025-10-21,DE,iOS,Influencer,Casual,0.246,11,1,1,Monthly,7.99
U00031,2025-10-22,DE,Web,Paid Social,Regular,0.653,11,1,0,Free,0.0
U00032,2025-09-11,US,iOS,Influencer,Casual,0.218,6,1,0,Free,0.0
U00033,2025-08-17,US,iOS,Paid Search,Casual,0.334,8,1,1,Monthly,9.99
U00034,2025-11-11,UK,iOS,Paid Social,Casual,0.286,6,0,0,Free,0.0
U00035,2026-01-11,DE,iOS,Influencer,Regular,0.548,10,1,0,Free,0.0
U00036,2025-08-12,US,iOS,Referral,Casual,0.283,7,0,1,Monthly,7.99
U00037,2026-01-05,US,Android,Paid Social,Regular,0.566,11,1,0,Free,0.0
U00038,2025-12-31,US,Android,Paid Search,Casual,0.271,11,1,0,Free,0.0
U00039,2025-09-20,US,iOS,Paid Social,Casual,0.238,9,1,0,Free,0.0
U00040,2025-11-25,UK,Android,Organic Search,Casual,0.208,9,1,1,Monthly,9.99
U00041,2025-08-31,US,iOS,App Store Browse,Casual,0.23,5,0,0,Free,0.0
U00042,2025-12-18,IN,Android,Paid Search,Casual,0.149,8,1,0,Free,0.0
U00043,2025-12-07,IN,iOS,Paid Search,Regular,0.601,12,1,0,Free,0.0
U00044,2025-10-05,IN,iOS,Paid Search,Regular,0.476,14,1,0,Free,0.0
U00045,2025-08-13,US,Android,Paid Search,Regular,0.537,14,1,0,Free,0.0
U00046,2026-01-26,US,Android,Paid Social,Casual,0.289,12,1,0,Free,0.0
U00047,2025-10-22,IN,Android,App Store Browse,Casual,0.3,11,1,0,Free,0.0
U00048,2026-01-12,IN,Android,Paid Search,Regular,0.444,7,1,1,Monthly,9.99
U00049,2025-12-03,US,Android,Paid Search,Casual,0.244,9,1,0,Free,0.0
U00050,2025-12-22,AU,iOS,Paid Social,Regular,0.578,17,1,0,Free,0.0
U00051,2025-12-18,US,iOS,Paid Social,Regular,0.553,9,1,0,Free,0.0
U00052,2025-09-05,AU,iOS,Organic Search,Casual,0.331,6,1,0,Free,0.0
U00053,2025-10-06,US,iOS,Paid Social,Regular,0.501,10,1,0,Free,0.0
U00054,2025-10-25,US,iOS,Organic Search,Regular,0.427,7,0,0,Free,0.0
U00055,2025-10-31,US,Android,Paid Search,Casual,0.299,4,1,0,Free,0.0
U00056,2025-08-09,US,iOS,Influencer,Regular,0.518,15,0,0,Free,0.0
U00057,2025-11-09,US,Android,Paid Social,Casual,0.144,5,1,1,Monthly,7.99
U00058,2025-08-29,US,Android,Paid Social,Casual,0.24,13,1,1,Monthly,7.99
U00059,2025-12-15,US,Android,Paid Search,Casual,0.324,13,1,0,Free,0.0
U00060,2025-12-04,IN,Android,Organic Search,Casual,0.174,8,0,0,Free,0.0
U00061,2026-01-17,US,iOS,App Store Browse,Casual,0.39,6,1,0,Free,0.0
U00062,2025-12-16,UK,iOS,Paid Social,Power,0.75,12,1,0,Free,0.0
U00063,2025-10-07,IN,Android,Organic Search,Casual,0.255,5,1,0,Free,0.0
U00064,2026-01-26,US,Android,Organic Search,Casual,0.177,3,1,0,Free,0.0
U00065,2025-10-15,US,iOS,App Store Browse,Regular,0.552,14,1,0,Free,0.0
U00066,2025-09-29,AU,iOS,Organic Search,Casual,0.242,5,1,1,Monthly,7.99
U00067,2026-01-14,IN,Android,Paid Search,Regular,0.461,9,1,0,Free,0.0
U00068,2025-10-08,US,Android,Organic Search,Casual,0.42,12,1,1,Monthly,9.99
U00069,2025-08-15,IN,iOS,Organic Search,Power,0.77,14,1,0,Free,0.0
U00070,2025-10-26,US,iOS,Influencer,Regular,0.52,11,1,0,Free,0.0
U00071,2025-12-25,US,Android,Organic Search,Casual,0.308,10,1,0,Free,0.0
U00072,2025-09-04,IN,iOS,Organic Search,Casual,0.359,11,1,0,Free,0.0
U00073,2025-10-25,US,Android,Paid Search,Casual,0.318,4,1,0,Free,0.0
U00074,2025-08-24,IN,iOS,Influencer,Power,0.728,15,1,0,Free,0.0
U00075,2025-12-05,US,Android,Paid Social,Regular,0.563,12,1,0,Free,0.0
U00076,2025-10-27,IN,iOS,Organic Search,Casual,0.137,13,1,1,Monthly,7.99
U00077,2025-09-30,US,iOS,App Store Browse,Casual,0.304,11,1,0,Free,0.0
U00078,2025-09-11,US,Web,Paid Search,Regular,0.452,10,1,0,Free,0.0
U00079,2025-11-12,US,iOS,Influencer,Casual,0.202,1,0,0,Free,0.0
U00080,2025-12-02,US,Web,Referral,Regular,0.55,16,1,0,Free,0.0
U00081,2026-01-21,IN,iOS,Referral,Regular,0.577,13,1,0,Free,0.0
U00082,2025-10-20,US,Android,Paid Social,Casual,0.234,10,1,0,Free,0.0
U00083,2025-08-30,US,Web,Paid Social,Casual,0.341,4,1,0,Free,0.0
U00084,2026-01-01,US,Android,Referral,Casual,0.293,11,1,0,Free,0.0
U00085,2025-11-24,US,iOS,Referral,Casual,0.289,15,1,0,Free,0.0
U00086,2025-12-07,IN,Android,App Store Browse,Power,0.726,15,1,1,Monthly,12.99
U00087,2025-08-18,US,Android,Paid Search,Regular,0.652,14,1,0,Free,0.0
U00088,2025-09-27,DE,Web,Paid Social,Regular,0.502,9,1,0,Free,0.0
U00089,2025-12-20,US,iOS,Paid Social,Casual,0.354,13,1,1,Monthly,7.99
U00090,2026-01-01,UK,iOS,Paid Search,Casual,0.371,7,1,1,Monthly,9.99
U00091,2025-10-20,US,iOS,Paid Social,Regular,0.581,13,1,0,Free,0.0
U00092,2025-12-27,US,Android,Referral,Casual,0.312,12,1,1,Monthly,7.99
U00093,2026-01-02,AU,Web,Paid Search,Casual,0.065,2,0,0,Free,0.0
U00094,2025-10-11,DE,iOS,Organic Search,Casual,0.238,6,0,0,Free,0.0
U00095,2026-01-13,AU,Android,Paid Search,Regular,0.616,15,1,0,Free,0.0
U00096,2025-09-23,US,Web,Paid Search,Regular,0.605,12,1,0,Free,0.0
U00097,2025-09-14,US,iOS,App Store Browse,Casual,0.177,8,1,1,Monthly,9.99
U00098,2025-12-04,UK,iOS,Paid Social,Regular,0.532,19,1,0,Free,0.0
U00099,2025-11-26,US,Android,Paid Search,Casual,0.098,5,0,0,Free,0.0
U00100,2025-08-26,IN,Android,Paid Social,Casual,0.275,9,1,0,Free,0.0
U00101,2026-01-01,CA,iOS,Paid Search,Casual,0.137,7,0,0,Free,0.0
U00102,2025-09-06,CA,Android,Organic Search,Regular,0.618,13,1,0,Free,0.0
U00103,2025-12-27,IN,Android,Influencer,Casual,0.321,9,1,0,Free,0.0
U00104,2025-08-02,UK,Web,App Store Browse,Casual,0.222,13,0,0,Free,0.0
U00105,2025-12-25,US,Android,Paid Search,Casual,0.281,2,0,0,Free,0.0
U00106,2025-12-23,US,Android,Paid Search,Regular,0.537,14,1,0,Free,0.0
U00107,2025-12-22,CA,Android,Organic Search,Regular,0.565,12,1,0,Free,0.0
U00108,2025-12-01,US,iOS,Paid Search,Casual,0.181,7,1,0,Free,0.0
U00109,2025-10-26,US,Android,Paid Social,Power,0.837,20,1,0,Free,0.0
U00110,2025-12-08,US,iOS,Referral,Casual,0.152,8,1,0,Free,0.0
U00111,2025-09-20,IN,Android,Organic Search,Casual,0.14,7,1,1,Monthly,7.99
U00112,2025-12-22,IN,iOS,Referral,Casual,0.243,4,1,0,Free,0.0
U00113,2025-11-11,CA,Android,Paid Social,Regular,0.537,15,1,1,Monthly,9.99
U00114,2025-10-24,US,iOS,Paid Search,Casual,0.266,9,1,0,Free,0.0
U00115,2025-11-02,US,iOS,Paid Search,Casual,0.211,9,1,0,Free,0.0
U00116,2025-11-13,US,iOS,Organic Search,Casual,0.363,7,1,0,Free,0.0
U00117,2025-08-07,US,Android,Paid Social,Casual,0.26,11,1,1,Monthly,12.99
U00118,2025-08-26,CA,Android,Influencer,Regular,0.564,19,1,0,Free,0.0
U00119,2025-09-15,UK,iOS,Paid Search,Power,0.812,16,1,0,Free,0.0
U00120,2025-08-22,US,Android,Organic Search,Casual,0.31,8,1,0,Free,0.0
