user_id,event_date,plan,event_type
U00001,2024-04-12,Basic,start
U00001,2024-07-15,Pro,upgrade
U00001,2024-09-16,Enterprise,upgrade
U00002,2024-09-27,Basic,start
U00002,2025-03-11,Pro,upgrade
U00002,2025-07-30,Enterprise,upgrade
U00003,2024-07-07,Free,start
U00004,2024-05-01,Free,start
U00005,2024-11-26,Free,start
U00005,2024-12-28,Basic,upgrade
U00006,2024-04-09,Free,start
U00007,2024-05-10,Free,start
U00008,2024-09-14,Basic,start
U00008,2025-01-29,Pro,upgrade
U00009,2024-10-20,Free,start
U00010,2024-10-03,Free,start
U00011,2024-11-09,Free,start
U00011,2025-04-22,Basic,upgrade
U00012,2024-08-23,Free,start
U00013,2024-02-28,Free,start
U00013,2024-06-09,Pro,upgrade
U00014,2024-07-06,Free,start
U00015,2024-07-08,Free,start
U00016,2024-02-20,Free,start
U00017,2024-08-31,Free,start
U00018,2024-05-10,Basic,start
U00018,2024-10-29,Pro,upgrade
U00018,2025-04-03,Enterprise,upgrade
U00019,2024-05-14,Free,start
U00020,2024-06-15,Free,start
U00021,2024-03-29,Pro,start
U00021,2024-09-17,Enterprise,upgrade
U00022,2024-08-29,Free,start
U00022,2024-12-01,Basic,upgrade
U00022,2025-04-17,Pro,upgrade
U00023,2024-12-11,Free,start
U00024,2024-12-05,Free,start
U00024,2025-03-29,Basic,upgrade
U00025,2024-09-20,Free,start
U00025,2025-02-19,Basic,upgrade
U00025,2025-05-27,Pro,upgrade
U00026,2024-07-24,Free,start
U00027,2024-02-19,Free,start
U00028,2024-01-02,Free,start
U00028,2024-06-19,Pro,upgrade
U00029,2024-02-23,Free,start
U00029,2024-04-01,Basic,upgrade
U00030,2024-11-05,Free,start
U00031,2024-08-05,Free,start
U00032,2024-07-20,Pro,start
U00033,2024-09-26,Basic,start
U00033,2025-02-12,Pro,upgrade
U00033,2025-06-24,Enterprise,upgrade
U00034,2024-09-27,Free,start
U00035,2024-08-02,Free,start
U00036,2024-07-08,Free,start
U00037,2024-07-26,Basic,start
U00038,2024-02-22,Free,start
U00038,2024-06-01,Basic,upgrade
U00039,2024-08-04,Free,start
U00040,2024-02-10,Free,start
U00041,2024-10-27,Free,start
U00041,2025-04-17,Basic,upgrade
U00042,2024-11-22,Free,start
U00042,2025-02-10,Basic,upgrade
U00042,2025-03-15,Pro,upgrade
U00043,2024-05-08,Free,start
U00044,2024-03-03,Basic,start
U00044,2024-05-07,Pro,upgrade
U00045,2024-03-21,Basic,start
U00046,2024-10-15,Free,start
U00047,2024-08-18,Free,start
U00048,2024-01-28,Basic,start
U00049,2024-11-23,Free,start
U00049,2025-02-23,Basic,upgrade
U00050,2024-02-02,Free,start
U00050,2024-03-06,Pro,upgrade
U00051,2024-03-02,Free,start
U00051,2024-04-28,Pro,upgrade
U00051,2024-08-11,Enterprise,upgrade
U00052,2024-04-08,Free,start
U00052,2024-05-08,Pro,upgrade
U00052,2024-06-23,Enterprise,upgrade
U00053,2024-08-01,Pro,start
U00054,2024-08-14,Free,start
