user_id,revenue_date,plan,monthly_revenue
U00001,2024-04-12,Basic,15
U00001,2024-05-12,Basic,15
U00001,2024-06-12,Basic,15
U00001,2024-07-12,Basic,15
U00001,2024-08-12,Basic,15
U00001,2024-09-12,Basic,15
U00001,2024-10-12,Basic,15
U00001,2024-11-12,Basic,15
U00001,2024-12-12,Basic,15
U00001,2024-07-15,Pro,35
U00001,2024-08-15,Pro,35
U00001,2024-09-15,Pro,35
U00001,2024-10-15,Pro,35
U00001,2024-11-15,Pro,35
U00001,2024-12-15,Pro,35
U00001,2025-01-15,Pro,35
U00001,2025-02-15,Pro,35
U00001,2025-03-15,Pro,35
U00001,2025-04-15,Pro,35
U00001,2024-09-16,Enterprise,99
U00001,2024-10-16,Enterprise,99
U00001,2024-11-16,Enterprise,99
U00001,2024-12-16,Enterprise,99
U00002,2024-09-27,Basic,15
U00002,2024-10-27,Basic,15
U00002,2024-11-27,Basic,15
U00002,2024-12-27,Basic,15
U00002,2025-03-11,Pro,35
U00002,2025-04-11,Pro,35
U00002,2025-05-11,Pro,35
U00002,2025-06-11,Pro,35
U00002,2025-07-11,Pro,35
U00002,2025-08-11,Pro,35
U00002,2025-09-11,Pro,35
U00002,2025-07-30,Enterprise,99
U00002,2025-08-30,Enterprise,99
U00002,2025-09-30,Enterprise,99
U00002,2025-10-30,Enterprise,99
U00002,2025-11-30,Enterprise,99
U00002,2025-12-30,Enterprise,99
U00002,2026-01-30,Enterprise,99
U00002,2026-02-28,Enterprise,99
U00002,2026-03-30,Enterprise,99
U00002,2026-04-30,Enterprise,99
U00002,2026-05-30,Enterprise,99
U00005,2024-12-28,Basic,15
U00005,2025-01-28,Basic,15
U00008,2024-09-14,Basic,15
U00008,2024-10-14,Basic,15
U00008,2024-11-14,Basic,15
U00008,2024-12-14,Basic,15
U00008,2025-01-14,Basic,15
U00008,2025-02-14,Basic,15
U00008,2025-03-14,Basic,15
U00008,2025-01-29,Pro,35
U00008,2025-02-28,Pro,35
U00008,2025-03-29,Pro,35
U00008,2025-04-29,Pro,35
U00011,2025-04-22,Basic,15
U00011,2025-05-22,Basic,15
U00011,2025-06-22,Basic,15
U00011,2025-07-22,Basic,15
U00011,2025-08-22,Basic,15
U00013,2024-06-09,Pro,35
U00013,2024-07-09,Pro,35
U00013,2024-08-09,Pro,35
U00013,2024-09-09,Pro,35
U00013,2024-10-09,Pro,35
U00013,2024-11-09,Pro,35
U00013,2024-12-09,Pro,35
U00013,2025-01-09,Pro,35
U00013,2025-02-09,Pro,35
U00013,2025-03-09,Pro,35
U00018,2024-05-10,Basic,15
U00018,2024-06-10,Basic,15
U00018,2024-07-10,Basic,15
U00018,2024-08-10,Basic,15
U00018,2024-10-29,Pro,35
U00018,2024-11-29,Pro,35
U00018,2025-04-03,Enterprise,99
U00018,2025-05-03,Enterprise,99
U00018,2025-06-03,Enterprise,99
U00018,2025-07-03,Enterprise,99
U00021,2024-03-29,Pro,35
U00021,2024-04-29,Pro,35
U00021,2024-05-29,Pro,35
