user_id,signup_date,initial_plan
U00001,2024-04-12,Basic
U00002,2024-09-27,Basic
U00003,2024-07-07,Free
U00004,2024-05-01,Free
U00005,2024-11-26,Free
U00006,2024-04-09,Free
U00007,2024-05-10,Free
U00008,2024-09-14,Basic
U00009,2024-10-20,Free
U00010,2024-10-03,Free
U00011,2024-11-09,Free
U00012,2024-08-23,Free
U00013,2024-02-28,Free
U00014,2024-07-06,Free
U00015,2024-07-08,Free
U00016,2024-02-20,Free
U00017,2024-08-31,Free
U00018,2024-05-10,Basic
U00019,2024-05-14,Free
U00020,2024-06-15,Free
U00021,2024-03-29,Pro
U00022,2024-08-29,Free
U00023,2024-12-11,Free
U00024,2024-12-05,Free
U00025,2024-09-20,Free
U00026,2024-07-24,Free
U00027,2024-02-19,Free
U00028,2024-01-02,Free
U00029,2024-02-23,Free
U00030,2024-11-05,Free
U00031,2024-08-05,Free
U00032,2024-07-20,Pro
U00033,2024-09-26,Basic
U00034,2024-09-27,Free
U00035,2024-08-02,Free
U00036,2024-07-08,Free
U00037,2024-07-26,Basic
U00038,2024-02-22,Free
U00039,2024-08-04,Free
U00040,2024-02-10,Free
U00041,2024-10-27,Free
U00042,2024-11-22,Free
U00043,2024-05-08,Free
U00044,2024-03-03,Basic
U00045,2024-03-21,Basic
U00046,2024-10-15,Free
U00047,2024-08-18,Free
U00048,2024-01-28,Basic
U00049,2024-11-23,Free
U00050,2024-02-02,Free
U00051,2024-03-02,Free
U00052,2024-04-08,Free
U00053,2024-08-01,Pro
U00054,2024-08-14,Free
U00055,2024-05-10,Basic
U00056,2024-08-05,Free
U00057,2024-12-24,Free
U00058,2024-07-25,Free
U00059,2024-02-11,Free
U00060,2024-06-27,Free
U00061,2024-08-18,Free
U00062,2024-04-05,Free
U00063,2024-08-18,Free
U00064,2024-06-19,Free
U00065,2024-01-13,Free
U00066,2024-07-05,Free
U00067,2024-10-10,Pro
U00068,2024-02-14,Free
U00069,2024-05-13,Free
U00070,2024-04-17,Free
U00071,2024-10-12,Pro
U00072,2024-05-07,Basic
U00073,2024-12-13,Free
U00074,2024-07-08,Free
U00075,2024-10-09,Free
U00076,2024-04-25,Free
U00077,2024-09-15,Free
U00078,2024-05-16,Free
U00079,2024-08-12,Free
U00080,2024-06-20,Free
U00081,2024-11-10,Free
U00082,2024-04-05,Free
U00083,2024-06-28,Free
U00084,2024-02-21,Free
U00085,2024-10-21,Free
U00086,2024-04-22,Free
U00087,2024-03-21,Free
U00088,2024-01-02,Free
U00089,2024-02-23,Free
U00090,2024-08-11,Pro
U00091,2024-05-05,Free
U00092,2024-06-20,Free
U00093,2024-07-16,Free
U00094,2024-11-19,Free
U00095,2024-07-02,Free
U00096,2024-09-11,Basic
U00097,2024-11-20,Free
U00098,2024-07-16,Free
U00099,2024-08-27,Basic
U00100,2024-07-19,Free
U00101,2024-11-21,Free
U00102,2024-09-15,Free
U00103,2024-12-11,Free
U00104,2024-05-26,Free
U00105,2024-07-17,Free
U00106,2024-05-07,Free
U00107,2024-12-25,Free
U00108,2024-05-30,Free
U00109,2024-10-24,Free
U00110,2024-09-08,Free
U00111,2024-04-21,Free
U00112,2024-02-29,Free
U00113,2024-10-30,Pro
U00114,2024-02-06,Pro
U00115,2024-01-09,Free
U00116,2024-05-26,Basic
U00117,2024-05-10,Basic
U00118,2024-02-23,Basic
U00119,2024-04-25,Free
