user_id,country,device,acquisition_channel,sessions_last_30_days,avg_session_length_min,social_interactions_last_30_days,multiplayer_sessions_last_30_days
U00001,CA,Android,Paid Social,7,10.5,1,0
U00002,UK,Android,Paid Search,12,20.9,10,9
U00003,CA,iOS,Organic,26,53.1,1,8
U00004,IN,Android,Paid Search,19,28.4,2,6
U00005,US,Web,Referral,5,8.3,3,0
U00006,US,Android,Paid Social,6,8.0,0,1
U00007,IN,iOS,Paid Search,8,14.2,0,2
U00008,US,iOS,Paid Search,13,22.0,13,9
U00009,AU,Android,Paid Social,17,34.8,0,6
U00010,US,Web,Paid Social,23,33.3,2,4
U00011,UK,iOS,Referral,4,18.8,2,5
U00012,CA,iOS,Paid Social,10,18.2,12,9
U00013,US,iOS,Paid Search,15,15.3,17,13
U00014,US,Android,Organic,7,6.5,1,1
U00015,UK,iOS,Paid Social,5,10.0,1,0
U00016,UK,iOS,Paid Social,2,17.8,3,0
U00017,US,iOS,Organic,5,16.2,1,2
U00018,AU,Android,Paid Social,7,10.1,0,4
U00019,US,iOS,Paid Social,6,12.4,0,0
U00020,AU,iOS,Organic,3,19.0,0,0
U00021,CA,Android,Paid Search,18,20.8,0,7
U00022,IN,Android,Referral,9,14.4,1,0
U00023,CA,Web,Referral,5,3.0,0,1
U00024,US,iOS,Referral,5,13.0,2,2
U00025,US,Android,Paid Search,7,16.9,1,0
U00026,AU,Web,Referral,28,30.4,2,7
U00027,UK,iOS,Paid Search,3,9.6,2,0
U00028,AU,Android,Paid Social,3,3.2,2,0
U00029,UK,Android,Referral,26,42.0,2,10
U00030,UK,iOS,Organic,7,15.2,0,0
U00031,UK,iOS,Paid Search,18,35.2,1,10
U00032,UK,Web,Referral,5,15.6,3,0
U00033,US,iOS,Organic,4,10.7,1,1
U00034,IN,iOS,Referral,12,22.9,16,11
U00035,IN,iOS,Paid Search,12,22.2,7,9
U00036,CA,Android,Paid Search,15,21.9,14,11
U00037,CA,Web,Paid Social,7,19.1,1,3
U00038,CA,Web,Paid Search,8,10.0,1,1
U00039,AU,Web,Referral,32,54.6,2,6
U00040,CA,Android,Paid Search,3,12.0,2,3
U00041,CA,iOS,Organic,7,8.8,3,0
U00042,CA,Android,Paid Social,7,11.4,3,1
U00043,US,Web,Paid Social,6,9.3,0,0
U00044,CA,iOS,Paid Search,14,18.9,7,9
U00045,IN,iOS,Referral,4,8.9,1,0
U00046,US,Web,Paid Social,27,22.0,2,5
U00047,UK,iOS,Referral,6,4.5,1,1
U00048,AU,Android,Referral,11,10.4,1,1
U00049,US,Web,Organic,7,13.0,1,1
U00050,US,Android,Paid Social,5,7.0,0,0
U00051,IN,iOS,Paid Search,10,22.3,8,13
U00052,CA,Web,Referral,14,33.1,2,5
U00053,UK,iOS,Paid Social,18,16.2,11,5
U00054,IN,Web,Paid Social,20,22.8,10,10
U00055,IN,Web,Referral,26,7.5,5,2
U00056,US,Web,Paid Search,14,17.0,18,10
U00057,UK,Web,Paid Social,4,11.8,0,0
U00058,IN,Web,Paid Social,4,10.3,1,1
U00059,AU,iOS,Paid Search,7,18.1,0,0
U00060,AU,Web,Referral,6,12.6,0,4
U00061,IN,Android,Referral,3,15.5,1,0
U00062,US,Web,Referral,5,17.9,0,1
U00063,AU,Android,Referral,7,21.9,11,7
U00064,US,iOS,Paid Search,8,7.4,0,1
U00065,CA,Web,Organic,8,8.7,1,2
U00066,CA,Web,Paid Search,5,4.5,2,4
U00067,US,Android,Paid Search,4,13.9,0,1
U00068,IN,Web,Referral,10,23.0,13,10
U00069,CA,iOS,Paid Social,8,10.3,0,1
U00070,CA,iOS,Paid Search,11,19.1,9,9
U00071,AU,Web,Referral,27,22.1,2,5
U00072,IN,Android,Paid Social,9,6.4,0,1
U00073,US,iOS,Paid Search,6,13.1,2,0
U00074,CA,Web,Organic,15,14.6,13,7
